experiment_id,distance,eta,seed,gate_family_ablated,ablation_mode,predicted_delta_eta_eff,observed_delta_eta_eff,eta_eff,interval_low,interval_high,interval_violation
exp_gate_class_convexity_ablation,3,1,11,cnot,replace_with_reference_channel,0.010673773433442595,0.011096714172490146,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,29,cnot,replace_with_reference_channel,0.010673773433442595,0.010909205571871755,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,47,cnot,replace_with_reference_channel,0.010673773433442595,0.010561752243719861,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,71,cnot,replace_with_reference_channel,0.010673773433442595,0.010253164314120943,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,89,cnot,replace_with_reference_channel,0.010673773433442595,0.010340979664397192,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,11,cnot,amplify_non_z_mass_2x,-0.026091446170637456,-0.027125301310531466,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,29,cnot,amplify_non_z_mass_2x,-0.026091446170637456,-0.02666694695346429,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,47,cnot,amplify_non_z_mass_2x,-0.026091446170637456,-0.02581761659575966,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,71,cnot,amplify_non_z_mass_2x,-0.026091446170637456,-0.025063290545628975,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,89,cnot,amplify_non_z_mass_2x,-0.026091446170637456,-0.02527795029074869,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,11,cnot,swap_decomposition,-0.019449987145384286,-0.020220679158759823,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,29,cnot,swap_decomposition,-0.019449987145384286,-0.019878996819855197,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,47,cnot,swap_decomposition,-0.019449987145384286,-0.019245859644111747,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,71,cnot,swap_decomposition,-0.019449987145384286,-0.018683543861287052,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,89,cnot,swap_decomposition,-0.019449987145384286,-0.01884356294401266,0.7347,0.5529999999999999,0.8295000000000001,0
exp_gate_class_convexity_ablation,3,1,11,measurement,replace_with_reference_channel,0.009182813848058155,0.009546676365812681,0.7347,0.5431250000000001,0.8295000000000001,0
