experiment_id,code_family,decoder,distance,eta,eta_eff,eta_gap,schedule_family,seed,chi_temp,threshold_true,threshold_nominal,threshold_eta_eff,threshold_residual_nominal,threshold_residual_eta_eff
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.6721041624410152,0.32789583755898477,bias_preserving_reference,11,0.98,0.009799095327102103,0.011534763920751284,0.010849465170752312,0.0017356685936491811,0.0010503698436502094
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.6672416578758847,0.33275834212411526,bias_preserving_reference,29,0.98,0.00961537928525748,0.011534763920751284,0.010838149756118916,0.0019193846354938048,0.0012227704708614364
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.6643961674827269,0.3356038325172731,bias_preserving_reference,47,0.98,0.009410141059106088,0.011534763920751284,0.010831510477306721,0.002124622861645196,0.0014213694182006326
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.6666116759629153,0.33338832403708474,bias_preserving_reference,71,0.98,0.009333534984782826,0.011534763920751284,0.01083668096518463,0.0022012289359684585,0.001503145980401804
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.6713679429719931,0.3286320570280069,bias_preserving_reference,89,0.98,0.009474402627573078,0.011534763920751284,0.010847754364938704,0.002060361293178206,0.0013733517373656252
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.4156881095382191,0.5843118904617809,temporal_order_swap,11,0.82,0.008665157587716642,0.011534763920751284,0.010195527431366853,0.0028696063330346418,0.0015303698436502106
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.4124599424940013,0.5875400575059987,temporal_order_swap,29,0.82,0.00848369941628999,0.011534763920751284,0.010186469887151427,0.003051064504461295,0.0017027704708614377
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.41031220189386586,0.5896877981061341,temporal_order_swap,47,0.82,0.008279061726897808,0.011534763920751284,0.01018043114509844,0.003255702193853476,0.001901369418200632
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.4113426063798818,0.5886573936201183,temporal_order_swap,71,0.82,0.008200183587144853,0.011534763920751284,0.010183329567546657,0.003334580333606431,0.0019831459804018035
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.41438132423862467,0.5856186757613753,temporal_order_swap,89,0.82,0.00833851187924157,0.011534763920751284,0.010191863616607195,0.003196252041509714,0.0018533517373656248
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.3582699938126424,0.6417300061873576,measurement_reset_asymmetric,11,0.78,0.00840456878495005,0.011534763920751284,0.01003093862860026,0.0031301951358012337,0.0016263698436502095
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.35542575578641133,0.6445742442135887,measurement_reset_asymmetric,29,0.78,0.008223818248246532,0.011534763920751284,0.010022588719107968,0.0033109456725047524,0.0017987704708614365
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.35332271003669496,0.6466772899633051,measurement_reset_asymmetric,47,0.78,0.008019033043797827,0.011534763920751284,0.01001640246199846,0.0035157308769534577,0.0019973694182006327
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.3538748695446883,0.6461251304553117,measurement_reset_asymmetric,71,0.78,0.007938881710905222,0.011534763920751284,0.010018027691307026,0.0035958822098460623,0.002079145980401804
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.35645600004042227,0.6435439999595778,measurement_reset_asymmetric,89,0.78,0.008076263702600863,0.011534763920751284,0.010025615439966488,0.003458500218150421,0.0019493517373656254
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.3179802202454845,0.6820197797545156,cnot_decomposition_variant,11,0.74,0.008188478633058074,0.011534763920751284,0.009910848476708284,0.0033462852876932105,0.00172236984365021
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.31537549251640346,0.6846245074835966,cnot_decomposition_variant,29,0.74,0.008008177671374251,0.011534763920751284,0.009902948142235688,0.003526586249377033,0.0018947704708614371
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.3136738906180056,0.6863261093819943,cnot_decomposition_variant,47,0.74,0.007804408500992566,0.011534763920751284,0.009897777919193199,0.0037303554197587185,0.0020933694182006333
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.31455534778523997,0.68544465221476,cnot_decomposition_variant,71,0.74,0.007725311100366519,0.011534763920751284,0.009900457080768324,0.003809452820384765,0.0021751459804018047
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,1,0.31702017744384675,0.6829798225561532,cnot_decomposition_variant,89,0.74,0.007862586823362123,0.011534763920751284,0.009907938560727749,0.0036721770973891614,0.002045351737365626
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,5,3.3234287628830104,1.6765712371169896,bias_preserving_reference,11,0.98,0.012657094051074187,0.015072995224961982,0.014157842254488366,0.0024159011738877946,0.0015007482034141793
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,5,3.340824959922185,1.6591750400778151,bias_preserving_reference,29,0.98,0.01269635135415757,0.015072995224961982,0.014169827256187054,0.0023766438708044124,0.0014734759020294842
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,5,3.3652238809586152,1.6347761190413848,bias_preserving_reference,47,0.98,0.012884443401875719,0.015072995224961982,0.014186524430407979,0.0021885518230862627,0.00130208102853226
exp_eta_eff_threshold_collapse,standard_surface,pymatching_mwpm,3,5,3.380623429010381,1.619376570989619,bias_preserving_reference,71,0.98,0.01314174562614305,0.015072995224961982,0.014196996126699495,0.0019312495988189314,0.0010552505005564441
