experiment_id,code_family,decoder_condition,schedule_condition,distance,eta,p,seed,threshold_true,logical_error_rate
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0001,11,0.007834031251731087,0.00016434630883694175
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0002,11,0.007834031251731087,0.0006640323590328807
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0005,11,0.007834031251731087,0.004184786251578205
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.001,11,0.007834031251731087,0.016834520359110698
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.002,11,0.007834031251731087,0.06687875432576913
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.005,11,0.007834031251731087,0.41521844990297657
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.01,11,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.02,11,0.007834031251731087,0.4870312581493881
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.05,11,0.007834031251731087,0.48207312408109415
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0001,29,0.007834031251731087,0.00016961096348101456
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0002,29,0.007834031251731087,0.000676276090061697
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0005,29,0.007834031251731087,0.00408085647707196
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.001,29,0.007834031251731087,0.01641430594911607
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.002,29,0.007834031251731087,0.06654539156441236
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.005,29,0.007834031251731087,0.41154274880853675
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.01,29,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.02,29,0.007834031251731087,0.4887086284828022
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.05,29,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0001,47,0.007834031251731087,0.00016205532040161253
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0002,47,0.007834031251731087,0.0006638750646764027
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0005,47,0.007834031251731087,0.004287185121605519
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.001,47,0.007834031251731087,0.016762548976573945
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.002,47,0.007834031251731087,0.06650067048949543
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.005,47,0.007834031251731087,0.4196403805324015
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.01,47,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.02,47,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.05,47,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0001,71,0.007834031251731087,0.0001696935127049292
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0002,71,0.007834031251731087,0.000668544143637029
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0005,71,0.007834031251731087,0.004265730643943531
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.001,71,0.007834031251731087,0.016500446067559852
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.002,71,0.007834031251731087,0.0677223576891735
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.005,71,0.007834031251731087,0.4207769648674824
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.01,71,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.02,71,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.05,71,0.007834031251731087,0.49
exp_finite_size_attribution,standard_surface,pymatching_mwpm,bias_preserving_reference,3,1,0.0001,89,0.007834031251731087,0.00016596459423744226
