experiment_id,distance,eta,schedule_regime,seed,p,p_l_aer,p_l_stim_first_order,p_l_stim_second_order,runtime_aer_seconds,runtime_stim_seconds
exp_cross_simulator_semantics,3,1,reference,11,0.0005,0.001327758288080817,0.00157950125950094,0.0014005194422676457,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,11,0.001,0.005341294056355883,0.006354003409440959,0.005633996970644185,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,11,0.002,0.021219439898291614,0.025242645703007705,0.022382265204717994,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,11,0.005,0.13174143315320624,0.15671960887905415,0.13896086369000193,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,11,0.01,0.49,0.582904,0.516852,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,11,0.02,0.49,0.582904,0.516852,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.0005,0.0012947832181051412,0.001540274116257876,0.0013657373384573029,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.001,0.005207967493874721,0.006195398130713368,0.005493364112539055,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.002,0.021113669820032054,0.02511682161791013,0.02227069892616981,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.005,0.13057519853589225,0.1553322561782974,0.13773071941565915,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.01,0.49,0.582904,0.516852,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,29,0.02,0.49,0.582904,0.516852,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,47,0.0005,0.0013602476292789729,0.0016181505797902662,0.0014347891993634605,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,47,0.001,0.005318458816053761,0.006326838607577554,0.005609910359173507,17.4,2.8000000000000003
exp_cross_simulator_semantics,3,1,reference,47,0.002,0.021099480617931123,0.025099942143090866,0.022255732155793746,17.4,2.8000000000000003
